,Season,Game,HR,Team,TOI(min)
565,2012,20283,Road,COL,48.25
566,2012,20284,Home,TOR,53.91666666666667
567,2012,20284,Road,MTL,53.91666666666667
568,2012,20285,Home,PHI,51.71666666666666
569,2012,20285,Road,WSH,51.71666666666666
570,2012,20286,Home,ANA,49.516666666666666
571,2012,20286,Road,NSH,49.516666666666666
572,2012,20287,Home,LAK,47.85000000000001
573,2012,20287,Road,DET,47.85000000000001
574,2012,20288,Home,BOS,47.41666666666667
575,2012,20288,Road,OTT,47.41666666666667
576,2012,20289,Home,NYI,61.43333333333333
577,2012,20289,Road,TOR,61.43333333333333
578,2012,20290,Home,NYR,47.833333333333336
579,2012,20290,Road,TBL,47.833333333333336
580,2012,20291,Home,CAR,39.016666666666666
581,2012,20291,Road,PIT,39.016666666666666
582,2012,20292,Home,FLA,52.1
583,2012,20292,Road,BUF,52.1
584,2012,20293,Home,WPG,47.16666666666667
585,2012,20293,Road,NJD,47.16666666666667
586,2012,20294,Home,STL,51.150000000000006
587,2012,20294,Road,CHI,51.150000000000006
588,2012,20295,Home,DAL,37.449999999999996
589,2012,20295,Road,EDM,37.449999999999996
590,2012,20296,Home,COL,43.11666666666667
591,2012,20296,Road,CGY,43.11666666666667
592,2012,20297,Home,PHX,43.76666666666667
593,2012,20297,Road,MIN,43.76666666666667
594,2012,20298,Home,SJS,56.6
595,2012,20298,Road,DET,56.6
596,2012,20299,Home,STL,51.18333333333334
597,2012,20299,Road,EDM,51.18333333333334
598,2012,20300,Home,CHI,55.43333333333334
599,2012,20300,Road,CBJ,55.43333333333334
600,2012,20301,Home,ANA,51.8
601,2012,20301,Road,MIN,51.8
602,2012,20302,Home,PHI,40.26666666666667
603,2012,20302,Road,OTT,40.26666666666667
604,2012,20303,Home,BOS,35.300000000000004
605,2012,20303,Road,TBL,35.300000000000004
606,2012,20304,Home,BUF,44.333333333333336
607,2012,20304,Road,NJD,44.333333333333336
608,2012,20305,Home,WPG,49.050000000000004
609,2012,20305,Road,WSH,49.050000000000004
610,2012,20306,Home,MTL,49.45
611,2012,20306,Road,PIT,49.45
612,2012,20307,Home,CAR,51.13333333333333
613,2012,20307,Road,FLA,51.13333333333333
614,2012,20308,Home,PHX,55.25
615,2012,20308,Road,ANA,55.25
616,2012,20309,Home,VAN,46.96666666666667
617,2012,20309,Road,LAK,46.96666666666667
618,2012,20310,Home,SJS,53.31666666666668
619,2012,20310,Road,NSH,53.31666666666668
620,2012,20311,Home,DET,51.26666666666667
621,2012,20311,Road,CHI,51.26666666666667
622,2012,20312,Home,NYI,48.88333333333334
